Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,MBP
12:33:17.581,4.055252,12:33:17.581,42.719598,12:33:17.581,0.003955,65
12:33:17.582,3.869528,12:33:17.582,42.68583,12:33:17.582,0.003626,65
12:33:17.583,3.650036,12:33:17.583,42.719598,12:33:17.583,0.004284,65
12:33:17.584,3.481196,12:33:17.584,42.635178,12:33:17.584,0.003955,65
12:33:17.585,3.211052,12:33:17.585,42.888438,12:33:17.585,0.003626,65
12:33:17.586,2.974676,12:33:17.586,42.719598,12:33:17.586,0.001325,65
12:33:17.587,2.620113,12:33:17.587,42.753366,12:33:17.587,0.003626,65
12:33:17.588,2.248665,12:33:17.588,42.787134,12:33:17.588,0.00264,65
12:33:17.589,1.843449,12:33:17.589,42.922206,12:33:17.589,0.003626,65
12:33:17.590,1.590189,12:33:17.590,42.787134,12:33:17.590,0.003626,65
12:33:17.591,1.472001,12:33:17.591,42.787134,12:33:17.591,0.004284,65
12:33:17.592,1.370697,12:33:17.592,42.753366,12:33:17.592,0.003955,65
12:33:17.593,1.235625,12:33:17.593,42.905322,12:33:17.593,0.003626,65
12:33:17.594,1.134321,12:33:17.594,42.820902,12:33:17.594,0.001982,65
12:33:17.595,1.134321,12:33:17.595,42.77025,12:33:17.595,0.003297,65
12:33:17.596,1.117437,12:33:17.596,42.871554,12:33:17.596,0.002311,65
12:33:17.597,1.184973,12:33:17.597,43.006626,12:33:17.597,0.002311,65
12:33:17.598,1.269393,12:33:17.598,42.93909,12:33:17.598,0.003955,65
12:33:17.599,1.421349,12:33:17.599,43.040394,12:33:17.599,0.001653,65
12:33:17.600,1.775913,12:33:17.600,43.141698,12:33:17.600,0.002969,65
12:33:17.601,1.910985,12:33:17.601,43.327422,12:33:17.601,0.00264,65
12:33:17.602,2.231781,12:33:17.602,43.378074,12:33:17.602,0.001982,65
12:33:17.603,2.552577,12:33:17.603,43.411842,12:33:17.603,0.005599,65
12:33:17.604,2.82272,12:33:17.604,43.462494,12:33:17.604,0.002969,65
12:33:17.605,3.042212,12:33:17.605,43.513146,12:33:17.605,0.00264,65
12:33:17.606,3.32924,12:33:17.606,43.563797,12:33:17.606,0.003297,65
12:33:17.607,3.599384,12:33:17.607,43.479378,12:33:17.607,0.002969,65
12:33:17.608,3.83576,12:33:17.608,43.378074,12:33:17.608,0.003297,65
12:33:17.609,4.08902,12:33:17.609,43.580681,12:33:17.609,0.003626,65
12:33:17.610,4.291628,12:33:17.610,43.394958,12:33:17.610,0.00264,65
12:33:17.611,4.477352,12:33:17.611,43.378074,12:33:17.611,0.00264,65
12:33:17.612,4.51112,12:33:17.612,43.394958,12:33:17.612,0.003297,65
12:33:17.613,4.460468,12:33:17.613,43.580681,12:33:17.613,0.003297,65
12:33:17.614,4.308512,12:33:17.614,43.563797,12:33:17.614,0.003626,65
12:33:17.615,4.17344,12:33:17.615,43.479378,12:33:17.615,0.00264,65
12:33:17.616,3.953948,12:33:17.616,43.378074,12:33:17.616,0.00264,65
12:33:17.617,3.734456,12:33:17.617,43.580681,12:33:17.617,0.003297,65
12:33:17.618,3.447428,12:33:17.618,43.496262,12:33:17.618,0.002311,65
12:33:17.619,3.143516,12:33:17.619,43.394958,12:33:17.619,0.003626,65
12:33:17.620,2.82272,12:33:17.620,43.394958,12:33:17.620,0.002969,65
12:33:17.621,2.518809,12:33:17.621,43.479378,12:33:17.621,0.002311,65
12:33:17.622,2.214897,12:33:17.622,43.36119,12:33:17.622,0.003626,65
12:33:17.623,1.910985,12:33:17.623,43.19235,12:33:17.623,0.002969,65
12:33:17.624,1.742145,12:33:17.624,43.141698,12:33:17.624,0.002311,65
12:33:17.625,1.455117,12:33:17.625,43.243002,12:33:17.625,0.001653,65
12:33:17.626,1.269393,12:33:17.626,43.19235,12:33:17.626,0.003955,65
12:33:17.627,1.235625,12:33:17.627,43.074162,12:33:17.627,0.003626,65
12:33:17.628,1.117437,12:33:17.628,43.057278,12:33:17.628,0.004284,65
12:33:17.629,1.100553,12:33:17.629,43.175466,12:33:17.629,0.002311,65
12:33:17.630,1.252509,12:33:17.630,43.141698,12:33:17.630,0.003297,65
12:33:17.631,1.303161,12:33:17.631,43.074162,12:33:17.631,0.00527,65
12:33:17.632,1.539537,12:33:17.632,42.972858,12:33:17.632,0.00264,65
12:33:17.633,1.674609,12:33:17.633,43.209234,12:33:17.633,0.002311,65
12:33:17.634,1.860333,12:33:17.634,43.175466,12:33:17.634,0.003297,65
12:33:17.635,2.282433,12:33:17.635,43.226118,12:33:17.635,0.003626,65
12:33:17.636,2.468157,12:33:17.636,43.141698,12:33:17.636,0.003626,65
12:33:17.637,2.721416,12:33:17.637,43.158582,12:33:17.637,0.003626,65
12:33:17.638,3.025328,12:33:17.638,43.243002,12:33:17.638,0.002311,65
12:33:17.639,3.211052,12:33:17.639,43.091046,12:33:17.639,0.003626,65
12:33:17.640,3.464312,12:33:17.640,43.10793,12:33:17.640,0.004612,65
12:33:17.641,3.683804,12:33:17.641,43.10793,12:33:17.641,0.002311,65
12:33:17.642,3.92018,12:33:17.642,43.040394,12:33:17.642,0.00264,65
12:33:17.643,4.105904,12:33:17.643,42.77025,12:33:17.643,0.002969,65
12:33:17.644,4.240976,12:33:17.644,42.753366,12:33:17.644,0.004612,65
12:33:17.645,4.34228,12:33:17.645,42.668946,12:33:17.645,0.003626,65
12:33:17.646,4.443584,12:33:17.646,42.567642,12:33:17.646,0.003297,65
12:33:17.647,4.409816,12:33:17.647,42.483222,12:33:17.647,0.002311,65
12:33:17.648,4.34228,12:33:17.648,42.466338,12:33:17.648,0.002311,65
12:33:17.649,4.25786,12:33:17.649,42.34815,12:33:17.649,0.00264,65
12:33:17.650,4.17344,12:33:17.650,42.213078,12:33:17.650,0.003626,65
12:33:17.651,4.021484,12:33:17.651,42.229962,12:33:17.651,0.00264,65
12:33:17.652,3.852644,12:33:17.652,42.111774,12:33:17.652,0.002311,65
12:33:17.653,3.548732,12:33:17.653,42.297498,12:33:17.653,0.002311,65
12:33:17.654,3.312356,12:33:17.654,42.246846,12:33:17.654,0.002311,65
12:33:17.655,3.143516,12:33:17.655,42.213078,12:33:17.655,0.003297,65
12:33:17.656,2.940908,12:33:17.656,42.26373,12:33:17.656,0.002311,65
12:33:17.657,2.620113,12:33:17.657,42.331266,12:33:17.657,0.003297,65
12:33:17.658,2.366853,12:33:17.658,42.280614,12:33:17.658,0.003626,65
12:33:17.659,2.248665,12:33:17.659,42.246846,12:33:17.659,0.004284,65
12:33:17.660,2.062941,12:33:17.660,42.229962,12:33:17.660,0.002969,65
12:33:17.661,1.927869,12:33:17.661,42.34815,12:33:17.661,0.00264,65
12:33:17.662,1.826565,12:33:17.662,42.280614,12:33:17.662,0.003955,65
12:33:17.663,1.894101,12:33:17.663,42.128658,12:33:17.663,0.003297,65
12:33:17.664,1.792797,12:33:17.664,41.959818,12:33:17.664,0.003297,65
12:33:17.665,1.843449,12:33:17.665,41.875398,12:33:17.665,0.002311,65
12:33:17.666,1.894101,12:33:17.666,41.976702,12:33:17.666,0.004941,65
12:33:17.667,2.079825,12:33:17.667,41.774094,12:33:17.667,0.003955,65
12:33:17.668,2.147361,12:33:17.668,41.605254,12:33:17.668,0.003955,65
12:33:17.669,2.282433,12:33:17.669,41.554602,12:33:17.669,0.001653,65
12:33:17.670,2.501925,12:33:17.670,41.605254,12:33:17.670,0.003626,65
12:33:17.671,2.755184,12:33:17.671,41.351995,12:33:17.671,0.003626,65
12:33:17.672,3.025328,12:33:17.672,41.368879,12:33:17.672,0.003297,65
12:33:17.673,3.143516,12:33:17.673,41.453299,12:33:17.673,0.00264,65
12:33:17.674,3.430544,12:33:17.674,41.605254,12:33:17.674,0.001982,65
12:33:17.675,3.5825,12:33:17.675,41.351995,12:33:17.675,0.003955,65
12:33:17.676,3.75134,12:33:17.676,41.335111,12:33:17.676,0.003297,65
12:33:17.677,3.869528,12:33:17.677,41.487067,12:33:17.677,0.00264,65
12:33:17.678,3.937064,12:33:17.678,41.453299,12:33:17.678,0.001982,65
12:33:17.679,3.970832,12:33:17.679,41.250691,12:33:17.679,0.002969,65
12:33:17.680,4.072136,12:33:17.680,41.335111,12:33:17.680,0.003626,65
12:33:17.681,3.970832,12:33:17.681,41.250691,12:33:17.681,0.003955,65
12:33:17.682,3.937064,12:33:17.682,41.385763,12:33:17.682,0.003297,65
12:33:17.683,3.785108,12:33:17.683,41.318227,12:33:17.683,0.00264,65
12:33:17.684,3.66692,12:33:17.684,41.233807,12:33:17.684,0.002311,65
12:33:17.685,3.430544,12:33:17.685,41.301343,12:33:17.685,0.000996,65
12:33:17.686,3.177284,12:33:17.686,41.351995,12:33:17.686,0.003955,65
12:33:17.687,2.974676,12:33:17.687,41.216923,12:33:17.687,0.00264,65
12:33:17.688,2.7383,12:33:17.688,41.216923,12:33:17.688,0.002311,65
12:33:17.689,2.603229,12:33:17.689,41.318227,12:33:17.689,0.00264,65
12:33:17.690,2.299317,12:33:17.690,41.200039,12:33:17.690,0.003626,65
12:33:17.691,2.079825,12:33:17.691,41.132503,12:33:17.691,0.003297,65
12:33:17.692,1.910985,12:33:17.692,41.098735,12:33:17.692,0.00264,65
12:33:17.693,1.708377,12:33:17.693,41.081851,12:33:17.693,0.003297,65
12:33:17.694,1.472001,12:33:17.694,41.183155,12:33:17.694,0.003297,65
12:33:17.695,1.421349,12:33:17.695,41.132503,12:33:17.695,0.003626,65
12:33:17.696,1.353813,12:33:17.696,41.014315,12:33:17.696,0.001982,65
12:33:17.697,1.235625,12:33:17.697,41.098735,12:33:17.697,0.001325,65
12:33:17.698,1.269393,12:33:17.698,41.081851,12:33:17.698,0.003297,65
12:33:17.699,1.320045,12:33:17.699,40.963663,12:33:17.699,0.003626,65
12:33:17.700,1.370697,12:33:17.700,41.014315,12:33:17.700,0.004612,65
12:33:17.701,1.488885,12:33:17.701,40.980547,12:33:17.701,0.000996,65
12:33:17.702,1.640841,12:33:17.702,41.031199,12:33:17.702,0.000996,65
12:33:17.703,1.775913,12:33:17.703,41.048083,12:33:17.703,0.003297,65
12:33:17.704,2.029173,12:33:17.704,40.963663,12:33:17.704,0.002969,65
12:33:17.705,2.147361,12:33:17.705,41.031199,12:33:17.705,0.001325,65
12:33:17.706,2.349969,12:33:17.706,41.149387,12:33:17.706,0.002311,65
12:33:17.707,2.518809,12:33:17.707,41.098735,12:33:17.707,0.00264,65
12:33:17.708,2.687649,12:33:17.708,41.064967,12:33:17.708,0.003955,65
12:33:17.709,2.940908,12:33:17.709,41.183155,12:33:17.709,0.003626,65
12:33:17.710,2.957792,12:33:17.710,41.216923,12:33:17.710,0.001325,65
12:33:17.711,3.07598,12:33:17.711,41.115619,12:33:17.711,0.002311,65
12:33:17.712,3.109748,12:33:17.712,41.132503,12:33:17.712,0.003955,65
12:33:17.713,3.194168,12:33:17.713,41.183155,12:33:17.713,0.004284,65
12:33:17.714,3.07598,12:33:17.714,41.335111,12:33:17.714,0.003626,65
12:33:17.715,2.99156,12:33:17.715,41.200039,12:33:17.715,0.001982,65
12:33:17.716,2.839604,12:33:17.716,41.048083,12:33:17.716,0.004612,65
12:33:17.717,2.805836,12:33:17.717,41.014315,12:33:17.717,0.003626,65
12:33:17.718,2.552577,12:33:17.718,41.166271,12:33:17.718,0.00264,65
12:33:17.719,2.400621,12:33:17.719,41.081851,12:33:17.719,0.003297,65
12:33:17.720,2.164245,12:33:17.720,41.014315,12:33:17.720,0.002969,65
12:33:17.721,2.029173,12:33:17.721,41.048083,12:33:17.721,0.00527,65
12:33:17.722,1.759029,12:33:17.722,41.284459,12:33:17.722,0.00264,65
12:33:17.723,1.590189,12:33:17.723,41.233807,12:33:17.723,0.00264,65
12:33:17.724,1.455117,12:33:17.724,41.115619,12:33:17.724,0.001653,65
12:33:17.725,1.286277,12:33:17.725,41.183155,12:33:17.725,0.002969,65
12:33:17.726,1.151205,12:33:17.726,41.318227,12:33:17.726,0.00264,65
