Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,SBP,DBP,MBP
16:48:24.903,4.359164,16:48:24.903,39.984391,16:48:24.903,0.002311,122,45,65
16:48:24.904,4.392932,16:48:24.904,39.849319,16:48:24.904,0.003297,122,45,65
16:48:24.905,4.359164,16:48:24.905,39.815551,16:48:24.905,0.00264,122,45,65
16:48:24.906,4.4267,16:48:24.906,39.798667,16:48:24.906,0.003297,122,45,65
16:48:24.907,4.409816,16:48:24.907,39.849319,16:48:24.907,0.00264,122,45,65
16:48:24.908,4.443584,16:48:24.908,39.883087,16:48:24.908,0.002969,122,45,65
16:48:24.909,4.477352,16:48:24.909,39.731131,16:48:24.909,0.001325,122,45,65
16:48:24.910,4.51112,16:48:24.910,39.663595,16:48:24.910,0.001982,122,45,65
16:48:24.911,4.4267,16:48:24.911,39.849319,16:48:24.911,0.002969,122,45,65
16:48:24.912,4.443584,16:48:24.912,39.815551,16:48:24.912,0.001325,122,45,65
16:48:24.913,4.477352,16:48:24.913,39.731131,16:48:24.913,0.002311,122,45,65
16:48:24.914,4.443584,16:48:24.914,39.731131,16:48:24.914,0.001982,122,45,65
16:48:24.915,4.409816,16:48:24.915,39.731131,16:48:24.915,0.002311,122,45,65
16:48:24.916,4.4267,16:48:24.916,39.731131,16:48:24.916,0.000009,122,45,65
16:48:24.917,4.376048,16:48:24.917,39.629827,16:48:24.917,0.000667,122,45,65
16:48:24.918,4.4267,16:48:24.918,39.663595,16:48:24.918,0.002311,122,45,65
16:48:24.919,4.392932,16:48:24.919,39.764899,16:48:24.919,0.001653,122,45,65
16:48:24.920,4.409816,16:48:24.920,39.697363,16:48:24.920,0.00264,122,45,65
16:48:24.921,4.392932,16:48:24.921,39.528523,16:48:24.921,0.001982,122,45,65
16:48:24.922,4.392932,16:48:24.922,39.511639,16:48:24.922,0.00264,122,45,65
16:48:24.923,4.359164,16:48:24.923,39.629827,16:48:24.923,0.003626,122,45,65
16:48:24.924,4.409816,16:48:24.924,39.612943,16:48:24.924,0.002969,122,45,65
16:48:24.925,4.409816,16:48:24.925,39.376568,16:48:24.925,0.002969,122,45,65
16:48:24.926,4.494236,16:48:24.926,39.359684,16:48:24.926,0.001982,122,45,65
16:48:24.927,4.359164,16:48:24.927,39.545407,16:48:24.927,0.00264,122,45,65
16:48:24.928,4.460468,16:48:24.928,39.444104,16:48:24.928,0.001325,122,45,65
16:48:24.929,4.477352,16:48:24.929,39.42722,16:48:24.929,0.003626,122,45,65
16:48:24.930,4.494236,16:48:24.930,39.292148,16:48:24.930,0.002969,122,45,65
